Constantin Chiriţă,,,,,,,,,,,,,,
"Când silueta lui Sergiu dispăru într-un grup de elevi, Lucia începu să-şi dojenească prietenii:",,,,,,,,,,,,,,
"— Ne-am înţeles de atâtea ori să fim mai atenţi când discutăm despre expediţie. Nu v-aţi dat seama că Sergiu şi ceilalţi din grupul lui ne urmăresc pas cu pas? Dacă nu suntem în stare să ne ferim de nătângii ăştia, atunci mai bine să dăm planul pe faţă într-o adunare a clasei.",,,,,,,,,,,,,,
"Ursu şi Maria îşi plecară privirile ca doi vinovaţi. Mai mult pentru sine, Maria întrebă în şoaptă:",,,,,,,,,,,,,,
— Oare a auzit ceva? Eu nu cred…,,,,,,,,,,,,,,
"Nemulţumirea n-o părăsise încă pe Lucia. Ea avea un principiu cu care se străduia să-i obişnuiască şi pe ceilalţi: a păstra secretul unui lucru nu înseamnă a învălui acel lucru în mister. Procedând astfel nu faci altceva decât să atragi atenţia către ceva care are şanse să rămână neobservat. Cel mai bun sistem de a păstra o taină, susţinea Lucia, e acela de a nu da nici o importanţă obiectivului care constituie taina, de a-l trata asemeni tuturor lucrurilor banale şi cotidiene. De câte ori discutau această problemă, şi ocaziile de a o discuta nu erau foarte rare, ea amintea, fără să obosească sau să se plictisească, o povestire a lui Poe, care o impresionase atât de mult încât îi sugerase principiul. Era vorba în acea povestire de dispariţia unui document important, pe care poliţia îl căuta cu tenacitate cumplită, mai ales că ştia şi camera în care se afla ascuns documentul. Şi cu toate acestea, deşi cercetase cu lupa, cu acul şi sunetul fiecare centimetru pătrat al în-căperii-ascunziş, nimeni nu reuşea să descopere documentul. Pentru că se afla, în văzul tuturor, într-un plic, aruncat parcă la întâmplare, în cutia cu corespondenţă. Lucia dezvoltase ideea, susţinând că documentul ar fi fost la fel de bine păzit, poate chiar mai bine, dacă ar fi fost aruncat în coşul de hârtii. Iată de unde şi cum apăruse principiul, supranumit între cireşari „secretul Luciei”, care, rezumat în câteva cuvinte, suna cam astfel: un secret are cele mai mari şanse să rămână secret dacă nu e considerat secret.",,,,,,,,,,,,,,
Iată de ce Lucia crezu că e cazul să mai adauge câteva cuvinte prietenilor ei:,,,,,,,,,,,,,,
"— E de-ajuns să rosteşti câteva vorbe în şoaptă, şi imediat cei din jur ciulesc urechile. Să discutăm planul nostru închipuindu-ne că am vorbi despre examene.",,,,,,,,,,,,,,
"La îndemnul Luciei, Ursu luă o înfăţişare atât de voit nepăsătoare, apoi căută un zâmbet atât de caraghios, încât amândouă fetele izbucniră în hohote de râs.",,,,,,,,,,,,,,
"— Ne întâlnim sub castanul nostru, spuse Ursu, hlizindu-se mai departe. Lângă cişmea. Dispoziţie de la Victor.",,,,,,,,,,,,,,
"Contrastul dintre schimonoseala feţii şi vorbele rostite de Ursu era absolut inimitabil. Petrecut pe o scenă, momentul ar fi provocat, prin râs, zeci de fracturi ale maxilarelor, ale sternului şi nenumărate încurcături de intestine. Ceea ce o făcu pe Lucia să anunţe sentenţios:",,,,,,,,,,,,,,
— Teodoru Teodor – Ursu! Nota doi!,,,,,,,,,,,,,,
"Teodoru Teodor, vlăjganul poreclit pe bună dreptate Ursu, din cauza forţei sale care-i depăşea cu mult vârsta, privi buimac spre cele două fete care porniseră, într-o conversaţie evident banală, spre locul de întâlnire a cireşarilor. În neputinţă de a afla pricina neaşteptatei lor transformări, nu găsi ceva mai bun de făcut decât să le urmeze, cu mâinile în buzunare şi cu privirile aţintite undeva pe cer, ceea ce îndemnă, într-o clipită, zeci de elevi să caute şi ei taina nevăzută de pe bolta albastră.",,,,,,,,,,,,,,
"— Unde-i, mă?",,,,,,,,,,,,,,
— Am pierdut-o…,,,,,,,,,,,,,,
— Ce-ai pierdut?,,,,,,,,,,,,,,
— Nu ştiu…,,,,,,,,,,,,,,
"— Uite-l! Acolo, deasupra plopului. Iar s-a dus…",,,,,,,,,,,,,,
"Zeci, sute de exclamaţii, de întrebări, sute de perechi de ochi iscodind cu înfocare şi tenacitate cupola albastră, imaculată, fără o dâră de nor. Doar întâmplarea atrase undeva un uliu pribeag pe care privirile îl descoperiră şi pe care vocile îl transformară în şoim, în vultur, în pajură. Ba se găsiră vreo câţiva care se jurau că văzuseră cum vulturul scăpase un berbec din gheare. Trezit de tăcere şi exclamaţii, Ursu, după ce trase cu urechea în jur, începu şi el să cerceteze bolta.",,,,,,,,,,,,,,
"Sub castanul de lângă cişmea, un castan uriaş, un castan rege, cum era supranumit, care ar fi putut adăposti, singur, în ramurile lui, o şcoală întreagă, se afla un singur băiat, acel Victor care, după spusele lui Dan, făcuse rost de o hartă. Deşi aplecat deasupra unei foi de bloc, i se putea ghici lesne statura, înaltă, bine legată, şi, desigur, foarte suplă. Avea faţa lunguiaţă, ochii negri, adânci, părul închis la culoare, era asemeni multor tineri de vârsta lui, la înfăţişare. La o cercetare mai atentă poate că i s-ar fi descoperit o notă de maturitate în trăsături, în gesturi, în atitudine. Dar nu asta îl deosebea pe Victor de ceilalţi. Tânărul aplecat asupra foii de bloc era un elev cu totul excepţional, şi, în primul rând, un matematician care uimea prin logica şi puterea sa de demonstraţie. E de prisos să spunem că era cunoscut în întreaga şcoală, şi că rareori profesorii îşi puseseră speranţe mai mari într-un alt elev. În ciuda precocităţii sale, Victor era încă foarte copilăros, pasionat după visuri, expediţii şi aventuri.",,,,,,,,,,,,,,
"Cufundat în cercetarea hărţii, tânărul nu observă o siluetă ascunsă după trunchiul castanului şi nici nu auzi, câteva secunde mai târziu, foşnetul slab al frunzelor care parcă sorbiseră între ele silueta elastică şi tăcută ca o fantomă. Numai câteva clipe să fi întârziat, şi intrusul, cocoţat acum în castan, ar fi fost descoperit de privirile iscoditoare ale lui Ursu, ale Luciei şi Mariei, care se apropiau, leneşi, de copac. Dar cum nimeni nu observase nimic, discuţia părea că începe sub semnul celei mai depline siguranţe.",,,,,,,,,,,,,,
"— Zău, Victor, chiar ai făcut rost de hartă? Întrebă Maria. Ar fi fantastic…",,,,,,,,,,,,,,
"— După cum vedeţi, răspunse Victor, descoperindu-le celor trei foaia mare de bloc.",,,,,,,,,,,,,,
"Privirile se repeziră lacome asupra hărţii. Numai Victor, calm, întrebă ca pentru el:",,,,,,,,,,,,,,
— Ionel şi Dan de ce nu sunt aici?,,,,,,,,,,,,,,
"Tocmai în acea clipă îşi făcu apariţia, gâfâind, Dan.",,,,,,,,,,,,,,
"— Nu vrea să vină… Măgarul! L-am rugat, l-am ameninţat, am făcut-o pe clovnul… Nu vrea! Spune că trebuie să repete la geologie, măgarul… Ia să văd şi eu harta!",,,,,,,,,,,,,,
Victor se uită la ceas. Până la semnalul clopoţelului mai rămăseseră vreo şapte minute.,,,,,,,,,,,,,,
— Ce facem? Întrebă el. Maria… Nu vrei să încerci tu să-l aduci pe Ionel?,,,,,,,,,,,,,,
"Se vedea lesne că invitaţia lui Victor nu-i făcea nici o plăcere Mariei, dar, cum nu prea avea obiceiul să-şi contrazică prietenul, o acceptă, fără să uite însă să strâmbe de câteva ori din nas. Dacă ar fi îmboldit-o altcineva s-ar fi iscat un tărăboi, sau măcar o ceartă pentru care n-ar fi ajuns o recreaţie întreagă. Dar fiindcă o invitase Victor… Îşi învinse repede senzaţia de neplăcere şi porni chiar în goană spre clădirea şcolii.",,,,,,,,,,,,,,
Ceilalţi îşi găsiră iarăşi de lucru cu harta. O ţineau pe genunchi şi o cercetau cu ochi de Argus.,,,,,,,,,,,,,,
— Dungile astea albastre ce sunt? Întrebă Dan.,,,,,,,,,,,,,,
"— Tocmai tu să nu ştii, tu, marele campion rebusist?! Se miră Lucia. Ce-ar putea să fie?",,,,,,,,,,,,,,
"— Formidabil! Descoperi Dan într-o clipă de genialitate. Râuri subterane! Mamă dragă, peste tot numai râuri… Dar deodată se simţi cuprins de nelinişte: Mamă dragă, dar cum le trecem?",,,,,,,,,,,,,,
"— Asta e, răspunse Victor. Asta-i problema numărul unu! Cum trecem râurile? Despre adâncimea lor harta nu spune nimic, nu suflă nici un cuvânt; să zicem că ar fi de ordinul centimetrilor… Dar uitaţi-vă la lacuri. S-ar putea ca lacurile să fie foarte adânci, şi tare îmi vine să cred asta. Aici va fi cel mai greu. În orice caz, nu ne vom lăsa opriţi de lacuri. Dar cum ne vom descurca?",,,,,,,,,,,,,,
"Lucia lovi de câteva ori, încet, cu pumnul în speteaza băncii:",,,,,,,,,,,,,,
"— Două minute de gândire pentru găsirea celei mai bune soluţii, fiindcă sunt mai multe… Gata! Începem!",,,,,,,,,,,,,,
"Îndemnul Luciei, deşi neaşteptat şi ciudat, fu totuşi luat în seamă. Capul în mâini, ochii închişi, concentrare deplină. De acest răgaz nesperat profită Pompilică, slăbănogul, codobatura, cum îl poreclise nu cu mult timp înainte Tic. Ajunsese cu bine în spatele castanului, dar abia acum urma greul. Cu chiu, cu vai izbuti totuşi să se caţere, nu fără să-şi julească mâinile şi să fie atacat chiar pe ceafă de un întreg furnicar scos din treburile lui. Îşi găsi loc într-o crăcană şi începu să se scuture de gângănii, suferind tăcut şi cumplit. Urechile îi stăteau însă ciulite, chiar în această situaţie de neinvidiat, gata să înregistreze cel mai tainic cuvânt. Din nefericire pentru el, momentul de tăcere impus de Lucia se prelungea. Iar câteva furnici mai curioase izbutiseră să treacă de bariera cămăşii şi coborau înţepătoare spre burtă.",,,,,,,,,,,,,,
"Dar Pompilică nu era singurul care simţea furnicături. Fără să fie atacaţi de furnici, mai erau doi tineri, undeva într-o clasă, care aveau cam aceleaşi senzaţii: Maria şi Ionel, în mai puţin de două minute izbutiseră să se certe cât alţii în trei zile, şi asta pentru că Maria îl găsise pe Ionel singur în clasă, rezemat tacticos de pervazul ferestrei şi privind undeva în neştire, afară.",,,,,,,,,,,,,,
"— Ni s-a spus că junele Edison se pregăteşte la geologie, tăbărâse Maria asupra lui. Sau poate încearcă să-şi imagineze cum arată jurasicul în curtea şcolii…",,,,,,,,,,,,,,
"— La urma urmei ce vrei, Cosânzeana vopsită?",,,,,,,,,,,,,,
— Nesuferitule!,,,,,,,,,,,,,,
— Urâcioaso!,,,,,,,,,,,,,,
— Edison nevertebrat!,,,,,,,,,,,,,,
— Cum?,,,,,,,,,,,,,,
— Aşa cum ai auzit! Nevertebratule! Noi te aşteptăm cu toţii şi tu îţi dai ifose de fiinţă evoluată. Stai şi numeri frunzele salcâmilor… Cel puţin dac-ai număra firele de iarbă…,,,,,,,,,,,,,,
— Ce am eu cu firele de iarbă? Întrebă nedumerit. Pentru ce…?,,,,,,,,,,,,,,
— Ca să vezi dacă-ţi ajung pentru desert…,,,,,,,,,,,,,,
"— Ascultă, obraznico! Dacă nu te cărăbăneşti imediat, am impresia că o să-mi rătăcesc mâinile prin cozile tale…",,,,,,,,,,,,,,
— Nu mai spune! Se oţărî Maria. Cred că ţii prea mult la obrăjorii matale ca să faci isprava asta. Ţi-a mai spus cineva că eşti lin caraghios?,,,,,,,,,,,,,,
Ionel părea mai degrabă dezgustat de insultele Mariei:,,,,,,,,,,,,,,
— Nici măcar nu eşti în stare să faci un spirit mai acătării. Probabil că te-ai molipsit de la frate-tău…,,,,,,,,,,,,,,
Maria era cât pe-aci să se năpustească asupra lui:,,,,,,,,,,,,,,
"— Crezi că de spirite îmi arde mie acum? Sunt înfuriată şi tu eşti un caraghios… Foarte mare. Ştii doar că Victor a copiat harta, ştii că trebuie să luăm o sumedenie de hotărâri, ştii că avem întâlnire la castan… Ce aştepţi? Să venim toţi şi să te implorăm? Nu înţelegi că am făcut rost de hartă?",,,,,,,,,,,,,,
"— Ia mai lăsaţi-mă dracului cu harta asta. Parcă aţi fi făcut nu ştiu ce mare scofală. O hartă, şi gata. Când o să am timp, o să mă uit pe ea… De altfel, peste câteva minute, trebuie să sune…",,,,,,,,,,,,,,
"— Foarte bine! Găsi Maria soluţia salvatoare. Dacă nu vrei să vii, nu veni! Dar cred că eşti îndeajuns de cavaler ca să mă conduci până acolo…",,,,,,,,,,,,,,
— Asta ce şmecherie mai e?,,,,,,,,,,,,,,
"— Nu e nici o şmecherie, din păcate… Sergiu şi Pompilică…",,,,,,,,,,,,,,
"— Să se ducă dracului amândoi, şi tu să mă laşi în pace, auzi? Maria îi făcu o reverenţă.",,,,,,,,,,,,,,
"— Să se ducă dracului, cum spui tu. N-am nimic împotrivă. Chiar poţi să-i ajuţi să ajungă mai repede acolo… Dacă mă conduci până la castan. Mă aşteaptă amândoi în curte şi mi-au spus şi ei că vor să-şi rătăcească mâinile prin cozile mele. Nu poţi să mă laşi în primejdie…",,,,,,,,,,,,,,
"Dar, spre surpriza Mariei, Ionel nici nu se gândise să se urnească. Dimpotrivă, simulând o tresărire, deschise repede cartea şi îşi aţinti ochii pe nişte desene.",,,,,,,,,,,,,,
Maria lovi îndurerată cu călcâiul în podea.,,,,,,,,,,,,,,
— Laşule!,,,,,,,,,,,,,,
"— Cară-te, scârboaso! Nu vezi că am treabă? Şi, la drept vorbind, nu am nici un pic de simpatie pentru cozile tale. Hai, cară-te!",,,,,,,,,,,,,,
— Nu mă duc!,,,,,,,,,,,,,,
"— N-ai decât… Va să zică, deosebirea dintre arhaic şi paleozoic…",,,,,,,,,,,,,,
"— Era următoarea: Arhaicul era populat cu vietăţi primare, fără nici o însuşire, care puteau foarte bine să se numească Ioneli, iar paleozoicul…",,,,,,,,,,,,,,
"— Avea o singură fiinţă, diformă, mincinoasă şi nesuferită… se repezi băiatul.",,,,,,,,,,,,,,
"— Un Ionel evoluat! Puse punct discuţiei Maria şi se avântă pe uşă, lăsându-şi prietenul cu gura căscată.",,,,,,,,,,,,,,
"Deşi trecuseră minutele pentru gândire, tinerii de sub castan se fereau să-şi destăinuie soluţiile. De câteva zile, de când găsise harta într-o arhivă uitată, în care de multă vreme nu mai umblase nimeni, Victor se gândea zi şi noapte la obiectul de care aveau nevoie. De bună seamă că şi gânditorii de câteva clipe, Lucia, Ursu, Dan, descoperiseră obiectul visat de Victor, dar li se părea atât de înfricoşător de departe încât nu îndrăzneau să-i rostească numele. Dan îşi luă în cele din urmă inima în dinţi şi începu să vorbească, însă cu o voce atât de jalnică, de parcă nu dezlegase o problemă, ci sesizase un obstacol de neînvins:",,,,,,,,,,,,,,
"— O barcă, asta ne trebuie, mamă dragă…",,,,,,,,,,,,,,
"Tonul lui Dan îi molipsi şi pe ceilalţi, care încuviinţară încet din cap, prilej de a-şi ascunde privirile triste şi dezolate. Numai Ursu se împotrivi jalnicei uverturi:",,,,,,,,,,,,,,
— Ei şi! Mare lucru o barcă… Dacă…,,,,,,,,,,,,,,
Privirile uimite ale Luciei îi îngheţară însă vorbele pe buze. Tocmai atunci apăru bosumflată şi Maria.,,,,,,,,,,,,,,
"— Nu vrea să vină cu nici un chip, anunţă ea. Caraghiosul! Şi sunt sigură că numai din orgoliu.",,,,,,,,,,,,,,
